CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9589008,2023,2023-06-13,1938,2023-05-03,1913,1215,AREA2,3,5,4,1938,0,0,0,,0,002,"D ST","11TH ST",18.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21801,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LA VERNE",-117.76750183105469,34.107475280761719
9640021,2023,2023-11-30,1942,2023-10-17,1215,36238,1151,2,5,7,1942,0,0,0,K,0,24TL24,"EDGEMONT ST","FOUNTAIN AV",65.00,N,N,A,-,N,,,,,,,,,,N,1,1,0,3,A,-,17,22517,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,A,07,0,0,0,0,0,1,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.296142578125,34.095558166503906
82001968,2023,2023-02-24,1933,2023-02-22,2141,1071,15,3,5,6,1933,0,0,0,,0,002,"OAK ST","HILLCREST BLVD",0.00,,Y,A,G,N,,,,,,,,,,N,3,0,1,2,A,-,12,22450,A,F,A,G,A,A,H,-,C,D,0,,Y,,,Y,,-,99,0,1,0,0,0,0,1,0,0,"- ","- ",33.956630706787109,-118.36599731445312,"LOS ANGELES",INGLEWOOD,-118.36606597900391,33.956550598144531
82355095,2023,2024-04-03,1955,2023-07-06,1608,42469,0085,4,5,6,1955,0,0,0,,0,005,"GAREY AVE","PHILLIPS BLVD",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.04425048828125,-117.74967956542969,"LOS ANGELES",POMONA,-117.74971771240234,34.044208526611328
92178027,2023,2023-09-25,9530,2023-08-26,1855,023048,,6,2,9,1900,0,3,5,,2,001,"FLORENCE AVE.","HOLMES AVE.",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",33.974880218505859,-118.24127960205078,"LOS ANGELES",UNINCORPORATED,-118.24126434326172,33.9747314453125
9578543,2023,2023-05-24,1942,2023-04-22,0224,31324,0245,6,5,7,1942,0,0,0,B,0,24T32,"ALVARADO ST","MARYLAND ST",38.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,05,21202,A,N,D,G,A,A,H,-,B,A,0,,Y,,,Y,Y,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.273681640625,34.061393737792969
9585622,2023,2023-05-31,1900,2023-04-28,1607,525413,2612,5,5,6,1950,0,0,0,,0,262T1,"VISTA RIDGE DR","WATFORD WY",8.00,S,N,A,-,N,,,,,,,,,,N,3,0,2,2,A,-,09,21800,A,N,D,B,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,1,0,0,0,1,0,0,"- ","- ",34.611911773681641,-118.19274139404297,"LOS ANGELES",PALMDALE,-118.19275665283203,34.61187744140625
9635244,2023,2023-12-05,1976,2023-10-26,1732,558,,4,5,5,1976,0,0,0,,0,002,"PHILADELPHIA ST","PIERCE AV",18.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21801,A,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,A,07,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES",WHITTIER,-118.04427337646484,33.979110717773438
9748028,2023,2024-11-01,1900,2023-10-05,1430,661862,0332,4,5,4,1939,0,0,0,,0,35T1,"ROSECRANS AV","GREVILLEA AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21801,A,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",33.901809692382812,-118.35487365722656,"LOS ANGELES",LAWNDALE,-118.35488891601562,33.901912689208984
91988359,2023,2023-02-07,9535,2023-01-26,0753,022081,,4,1,9,1900,0,3,5,,2,001,"KEENAN AVE","HUBBARD ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,22450,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",34.020011901855469,-118.14456939697266,"LOS ANGELES",UNINCORPORATED,-118.14457702636719,34.02008056640625
9575468,2023,2023-04-20,1942,2023-02-02,1240,31542,1313,4,5,7,1942,0,0,0,M,0,24T22,"CENTRAL AV","15TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,17,21200,,N,D,C,A,A,H,-,A,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.248046875,34.027236938476562
9578249,2023,2023-05-08,1941,2023-02-20,1123,5578,NORTH,1,5,7,1941,0,0,0,,0,023,"67TH ST","MURIEL AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,22450,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",33.875999450683594,-118.2005615234375,"LOS ANGELES","LONG BEACH",-118.20059967041016,33.875991821289062
9582721,2023,2023-06-08,1900,2023-04-08,1345,661654,1320,6,5,5,1935,0,0,0,,0,133,"DOWNEY AV","YEARLING ST",43.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,A,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES",LAKEWOOD,-118.15139007568359,33.849849700927734
9584420,2023,2023-05-22,1928,2023-05-01,2050,50324,517,1,5,5,1928,0,0,0,,0,503,"DOTY AV","132ND ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,22450,A,N,D,G,A,A,H,-,C,B,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",33.912818908691406,-118.33956146240234,"LOS ANGELES",HAWTHORNE,-118.33956146240234,33.912799835205078
9603360,2023,2023-08-07,1942,2023-06-19,1700,38111,0392,1,5,7,1942,0,0,0,C,0,DESK,"11TH AV","46TH ST",70.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,08,22103,,F,B,G,A,A,H,-,A,D,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.32936859130859,34.002002716064453
9619885,2023,2023-12-27,1916,2023-09-28,1935,2998,D31C1,4,5,4,1916,0,0,0,,0,DOWNTO,"BADILLO ST","CEDAR DR",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,1,N,A,G,A,A,H,-,A,D,0,,Y,,,Y,Y,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES",COVINA,-117.89809417724609,34.086322784423828
9655001,2023,2024-01-16,1900,2023-09-14,1603,628014,0532,4,5,5,1959,0,0,0,,0,53T1PM,"SAN GABRIEL BL","EMERSON PL",56.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,F,B,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",34.066230773925781,-118.09049224853516,"LOS ANGELES",ROSEMEAD,-118.09056854248047,34.066268920898438
82159207,2023,2023-08-31,1933,2023-08-28,2057,1072,25,1,5,6,1933,0,0,0,,0,004,"CENTURY BLVD","PRAIRIE AV",500.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,17,21200,,N,D,G,A,A,H,-,C,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",33.945468902587891,-118.34391784667969,"LOS ANGELES",INGLEWOOD,-118.34559631347656,33.945449829101562
82196856,2023,2023-10-16,1922,2023-09-22,1033,709,1922,5,5,6,1922,0,0,0,,0,001,"TYLER AVE","BROCKWAY ST",75.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,1,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.068519592285156,-118.03591918945312,"LOS ANGELES","EL MONTE",-118.03598022460938,34.068294525146484
92173913,2023,2023-09-19,9525,2023-09-13,1000,018992,,3,1,9,1900,0,3,5,,2,002,"SAN GABRIEL RIVER TRAIL","ARROW HIGHWAY",4500.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,B,E,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.125408172607422,-117.964599609375,"LOS ANGELES",UNINCORPORATED,-117.96703338623047,34.123462677001953
92199665,2023,2023-10-16,9530,2023-10-04,1550,022999,,3,2,9,1900,0,3,5,,2,001,"CUDAHY ST.","SANTA FE AVE.",8.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,F,B,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",33.96636962890625,-118.23008728027344,"LOS ANGELES",UNINCORPORATED,-118.23019409179688,33.966358184814453
9471293,2023,2023-10-28,1941,2023-08-02,1435,6110,SOUTH,3,5,7,1941,0,0,0,,0,008,"ESPERANZA AV","3RD ST",0.00,,N,A,-,N,,,,,,,,,,,4,0,1,2,D,-,00,,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",0,0,1,0,0,0,1,0,0,"- ","- ",33.769760131835938,-118.17478942871094,"LOS ANGELES","LONG BEACH",-118.17476654052734,33.769943237304688
9550326,2023,2023-03-17,1900,2023-02-04,1630,624453,0535,6,5,5,1959,0,0,0,,0,53T1P,"RUSH ST","ANGELUS AV",29.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,17,21970,A,N,B,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",34.051601409912109,-118.08689880371094,"LOS ANGELES",ROSEMEAD,-118.08704376220703,34.051578521728516
9575649,2023,2023-07-27,1941,2023-03-10,1848,11231,SOUTH,5,5,7,1941,0,0,0,,0,008,"E 1ST ST","ORANGE AV",0.00,E,N,C,-,N,,,,,,,,,,N,3,0,1,2,-,-,"- ",,,N,B,G,A,B,H,-,C,D,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",33.766769409179688,-118.17716217041016,"LOS ANGELES","LONG BEACH",-118.17716979980469,33.766792297363281
9598081,2023,2023-08-10,1900,2023-07-11,1050,633581,0560,2,5,3,1968,0,0,0,,0,55T1D,"ROSEMEAD BL","RUSH ST",3.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,1,N,A,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","SOUTH EL MONTE",-118.06420135498047,34.051807403564453
9611465,2023,2023-10-27,1906,2023-08-30,1526,4467,,3,5,5,1906,0,0,0,,0,001,"IDAHO ST","ILLINOIS ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,22450,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,M,91,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","BALDWIN PARK",-117.97309875488281,34.081489562988281
9627536,2023,2023-10-20,1941,2023-01-06,0842,10920,SOUTH,5,5,7,1941,0,0,0,,0,006,"MAGNOLIA AV","11TH ST",50.00,S,N,A,-,N,,,,,,,,,,,3,0,1,2,D,-,00,,,N,G,G,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",33.779518127441406,-118.19806671142578,"LOS ANGELES","LONG BEACH",-118.19803619384766,33.780071258544922
9627555,2023,2023-10-09,1926,2023-08-25,2018,0087,1,5,5,5,1926,0,0,0,,0,001,"ELWOOD AV","RT 66",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21801,A,N,D,G,A,A,H,-,C,A,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES",GLENDORA,-117.85073089599609,34.128719329833984
9661479,2023,2024-02-07,1907,2023-07-17,1545,259,,1,5,4,1907,0,0,0,,0,,"GAGE AV","WALKER AV",68.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,05,21650,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,Y,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",33.976551055908203,-118.17337036132812,"LOS ANGELES",BELL,-118.17314147949219,33.976543426513672
82019088,2023,2023-03-17,1965,2023-02-09,1056,3693,0B1G,4,5,5,1965,0,0,0,,0,B001,"COLORADO AVE","MAIN ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,N,A,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","SANTA MONICA",-118.49395751953125,34.01226806640625
92157224,2023,2023-08-29,9535,2023-08-21,1800,022172,,1,2,9,1900,0,2,4,,2,018,"BEVERLY BOULEVARD (5200 BLOCK)","ALLEWAY EAST OF ATLANTIC BOULEVARD",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,B,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.032001495361328,-118.15309906005859,"LOS ANGELES",UNINCORPORATED,-118.15370941162109,34.032131195068359
9468718,2023,2023-09-14,1942,2023-08-01,2000,43244,1414,2,5,7,1942,0,0,0,N,0,14A13W,"6TH AV","SAN JUAN AV",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,12,22450,A,N,H,G,A,A,H,-,B,A,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.46708679199219,33.993190765380859
9567490,2023,2023-05-19,1900,2023-04-26,0827,620752,1137,3,5,6,1992,0,0,0,,0,112T1,"27TH ST EAST","AVE K",6.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21950,B,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES",LANCASTER,-118.08131408691406,34.675228118896484
9673491,2023,2024-03-12,1942,2023-12-22,1710,42948,159,5,5,7,1942,0,0,0,O,0,1FBSW2,MATEO,"6TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,03,22350,,N,A,G,A,A,H,-,B,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.23271942138672,34.038253784179688
82303442,2023,2024-02-02,1975,2023-12-29,1511,481,WCPD,5,5,6,1975,0,0,0,,0,001,"AZUSA AV","GARVEY AV N",0.00,,Y,A,-,Y,,,,,,,,,,N,3,0,1,2,A,-,11,21955,,F,A,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.073921203613281,-117.90770721435547,"LOS ANGELES","WEST COVINA",-117.90765380859375,34.073848724365234
92196766,2023,2023-10-12,9565,2023-10-01,1045,022775,,7,1,9,1900,0,3,5,,2,005,"BALI WAY","ADMIRALTY WAY",240.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,22450,A,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",33.981700897216797,-118.44246673583984,"LOS ANGELES",UNINCORPORATED,-118.44231414794922,33.981742858886719
9551920,2023,2023-03-03,1918,2023-01-29,1205,1086,,7,5,4,1918,0,0,0,,0,,"WASHINGTON BL","GRAND VIEW BL",305.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,03,22350,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",33.997230529785156,-118.42565155029297,"LOS ANGELES","CULVER CITY",-118.42450714111328,33.997398376464844
9655777,2023,2024-01-25,1941,2023-11-05,1143,10922,EAST,7,5,7,1941,0,0,0,,0,013,"EAST 2ND ST","E MARINA DR",1050.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,00,,,N,B,G,A,A,H,-,A,D,0,,Y,,,Y,,-,"- ",0,1,0,0,0,0,1,0,0,"- ","- ",33.757579803466797,-118.11316680908203,"LOS ANGELES","LONG BEACH",-118.11653137207031,33.756767272949219
9661963,2023,2024-02-02,1900,2023-04-24,0615,645942,0331,1,5,4,1939,0,0,0,,0,35T1,"ROSECRANS AV","JEFFERSON AV",425.00,W,N,B,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21804,A,N,D,G,A,A,H,-,B,D,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",33.902210235595703,-118.34835052490234,"LOS ANGELES",LAWNDALE,-118.34795379638672,33.901908874511719
92321979,2023,2024-02-23,9535,2023-10-24,0820,023371,,2,1,9,1900,0,3,5,,2,002,"3RD STREET","ARIZONA AVE",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",34.033191680908203,-118.163818359375,"LOS ANGELES",UNINCORPORATED,-118.49769592285156,34.016994476318359
9609500,2023,2023-09-08,1942,2023-08-14,1510,41629,0111,1,5,7,1942,0,0,0,A,0,24TL54,"CESAR CHAVEZ","BUNKER HILL AV",393.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,F,D,G,A,A,H,-,A,D,0,,Y,,,Y,,-,99,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.24555969238281,34.062026977539062
9624047,2023,2023-10-05,1942,2023-01-16,0200,39022,1445,1,5,7,1942,0,0,0,N,0,27T31-,"ZANJA ST","MOORE ST",109.00,E,N,C,-,N,,,,,,,,,,N,1,1,0,1,C,-,18,,,N,F,I,A,B,A,-,C,D,0,,Y,,,Y,,-,"- ",0,0,0,0,0,1,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.43777465820312,33.997043609619141
9641239,2023,2023-12-12,1942,2023-04-09,1102,45101,0892,7,5,7,1942,0,0,0,H,0,8A35,"COOLIDGE AV","GATEWAY BL",2.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,22450,,F,D,G,A,A,H,-,A,A,0,,Y,,,Y,,-,,0,1,0,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.44237518310547,34.031757354736328
9653462,2023,2024-02-26,1902,2023-12-08,1358,815,32,5,5,5,1902,0,0,0,,0,005,"S 2ND AV","E LONGDEN AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,05,21202,A,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"LOS ANGELES",ARCADIA,-118.02471160888672,34.114238739013672
